id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1497900306549645315,1497900306549645315,2022-02-27 17:13:57 India Standard Time,2022-02-27,17:13:57,+0530,1256692212273905664,digitalcrio,Digital Currency Research ™,,US Charges Indian Citizen In $3.4 Billion Crypto Ponzi Scheme Bitconnect  Read the full article on our website:  https://t.co/4IRcKoGWN9  #digitalcurrencyresearch #crypto #cryptocurrency #blockchain #Bitconnect  https://t.co/eBZsB35CKf,en,[],['https://bit.ly/3snN23B'],['https://pbs.twimg.com/media/FMmcYzVWYAEm7kt.jpg'],0,0,5,"['digitalcurrencyresearch', 'crypto', 'cryptocurrency', 'blockchain', 'bitconnect']",[],https://twitter.com/DigitalCRio/status/1497900306549645315,False,,1,https://pbs.twimg.com/media/FMmcYzVWYAEm7kt.jpg,,,,,,,[],,,,
1497564588413714434,1497564588413714434,2022-02-26 18:59:55 India Standard Time,2022-02-26,18:59:55,+0530,295693924,fpjindia,Free Press Journal,,"#Digitalcurrency will add a certain amount of discipline to the Indian financial structure making it more secure, writes @shivansh_bhasin #cryptocurrency   https://t.co/2Qw75ihcRY",en,"[{'screen_name': 'shivansh_bhasin', 'name': 'shivansh bhasin', 'id': '1235219540'}]",['https://www.freepressjournal.in/business/cryptocurrency-breaking-down-complexities-of-currency-of-future'],[],0,1,3,"['digitalcurrency', 'cryptocurrency']",[],https://twitter.com/fpjindia/status/1497564588413714434,False,,0,,,,,,,,[],,,,
1497175931659689988,1497175931659689988,2022-02-25 17:15:32 India Standard Time,2022-02-25,17:15:32,+0530,1488301476338413572,channelcurrency,Digital Currency channel,,RBI New Statement on Crypto |Avalanche soon Blast| Indian's Crypto Advertisement are Irresponsible?  https://t.co/1KnBplWs7H,en,[],['https://digitalcurrencychannel.com/rbi-new-statement-on-crypto-avalanche-soon-blast-indians-crypto-advertisement-are-irresponsible/'],[],0,0,0,[],[],https://twitter.com/ChannelCurrency/status/1497175931659689988,False,,0,,,,,,,,[],,,,
1496356255379918849,1496356255379918849,2022-02-23 10:58:26 India Standard Time,2022-02-23,10:58:26,+0530,31632905,mid_day,Mid Day,,"E-Rupee - #RBI backed #DigitalCurrency, #India at the cusp of a #Digital Revolution transforming Indian banking system leading to inclusive overall growth    Via: @ffarzang   #MiddayFinance #Currency #Finance  https://t.co/CAYqWV3hLN",en,"[{'screen_name': 'ffarzang', 'name': 'farzan ghadially', 'id': '3157881018'}]",[],['https://pbs.twimg.com/media/FMQfex8aUAMgifz.jpg'],0,1,5,"['rbi', 'digitalcurrency', 'india', 'digital', 'middayfinance', 'currency', 'finance']",[],https://twitter.com/mid_day/status/1496356255379918849,False,,1,https://pbs.twimg.com/media/FMQfex8aUAMgifz.jpg,,,,,,,[],,,,
1495852781495857152,1495852781495857152,2022-02-22 01:37:49 India Standard Time,2022-02-22,01:37:49,+0530,1488710759387643904,jessica1866sus1,Jessica Susan,,Indian Ministry of Finance official: India's central bank digital currency will be built on blockchain technology,en,[],[],[],0,0,2,[],[],https://twitter.com/Jessica1866Sus1/status/1495852781495857152,False,,0,,,,,,,,[],,,,
1495793465451495424,1495793465451495424,2022-02-21 21:42:07 India Standard Time,2022-02-21,21:42:07,+0530,1085320908519092224,exports_news,Exports News,,Come take a look at our blog to learn more about the Indian government's decision to limit the trade of cryptocurrencies in order to promote its own digital currency instead.  https://t.co/fPoFStxJEf  . . #exportsnews #internationaltrade  https://t.co/R1tVOej59e,en,[],['https://exportsnews.com/post/india-moves-to-regulate-cryptocurrencies'],['https://pbs.twimg.com/media/FMIgOrFXsAUbVJ2.jpg'],0,0,1,"['exportsnews', 'internationaltrade']",[],https://twitter.com/exports_news/status/1495793465451495424,False,,1,https://pbs.twimg.com/media/FMIgOrFXsAUbVJ2.jpg,,,,,,,[],,,,
1495667866192211968,1495667866192211968,2022-02-21 13:23:02 India Standard Time,2022-02-21,13:23:02,+0530,833569625879281665,ketanpunekarrr,Ketan 🇮🇳 ,,Indian digital currency aa gayi!!  “Shiva Inu” - 👏👏  https://t.co/mpDg4Dv38E,in,[],[],['https://pbs.twimg.com/media/FMGt_cQX0AEtzkE.jpg'],0,0,0,[],[],https://twitter.com/ketanpunekarrr/status/1495667866192211968,False,,1,https://pbs.twimg.com/media/FMGt_cQX0AEtzkE.jpg,,,,,,,[],,,,
1494981297856413698,1494981297856413698,2022-02-19 15:54:51 India Standard Time,2022-02-19,15:54:51,+0530,943679596720832513,vivekgopinath5,Vivek Gopinath,,Check out the @unstoppableweb domain name inr.wallet. INR is the Indian currency . The Indian govt is soon looking to have their own digital currency soon. I foresee this domain name blowing up soon .   https://t.co/5Lv5dQP9vn,en,"[{'screen_name': 'unstoppableweb', 'name': 'unstoppable.wallet', 'id': '1101647425867902976'}]",['https://opensea.io/assets/matic/0xa9a6a3626993d487d2dbda3173cf58ca1a9d9e9f/106222655290516434108008870931321758674030613208812573071217161369368980323695'],[],0,0,1,[],[],https://twitter.com/VivekGopinath5/status/1494981297856413698,False,,0,,,,,,,,[],,,,
1494966733152858113,1494966733152858113,2022-02-19 14:56:58 India Standard Time,2022-02-19,14:56:58,+0530,1075369275534102528,drishtivideos,Drishti IAS Videos,,👉 Checklist for digital currency - The Indian Express | Editorial Analysis | Drishti IAS . इस एडिटोरियल में नील सर 'द इंडियन एक्सप्रेस'’ से दिन के शीर्ष संपादकीय पर चर्चा की है।  . आज का यह एपिसोड देखने के लिए क्लिक करें इस लिंक पर:  https://t.co/97ArvyiG50  . #DrishtiIAS  https://t.co/GjHqstEKB4,und,[],['https://youtu.be/sVadWl-nkR0'],[],0,1,5,['drishtiias'],[],https://twitter.com/DrishtiVideos/status/1494966733152858113,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1494965892043898883/pu/img/YcK79pFIt_Iq4nsj.jpg,,,,,,,[],,,,
1494615302008500228,1494615302008500228,2022-02-18 15:40:31 India Standard Time,2022-02-18,15:40:31,+0530,966611143,arunangur,Capt Arun Kumar Mishrra,,Proposed Indian digital currency.  https://t.co/z3r4zNvVgW,in,[],[],['https://pbs.twimg.com/media/FL3wsfeVQAMfwk3.jpg'],0,0,0,[],[],https://twitter.com/arunangur/status/1494615302008500228,False,,1,https://pbs.twimg.com/media/FL3wsfeVQAMfwk3.jpg,,,,,,,[],,,,
